Addr,City,Cust Nm,Cust Region,Cust Terr,Decile (group),Email,End Date,Geo Id,Geo Level Nm,Geo Nm,Load date,Mdm Id,Prod Id,Prod Nm,Speciality,Start Date,State,Time Bucket,Time Bucket Master,Trgt Flg,Zip,Curr Calls,Curr Emails Clicked,Curr Emails Open,Curr Emails Sent,Curr Emails Unsubcribed,Curr In Prsn Calls,Curr Vrtl Calls,Decile,Fax,Geo Level Id,Phone,SR no,Tot Spkr Prgm,Tot Spkr Prgm Atnd
5150 SANDY LN,BRANDON,KENDRA ERIN CHESNUT,SOUTH EAST,TAMPA,Decile 9-10,KENDRA ERIN CHESNUT@gmail.com,12/20/2021,U000101,NATION,US,10/3/2021,10012148,1001001,EXL,Hospitals,1/1/2021,FL,YTD,YTD,Y,33511,0,2,2,2,0,0,0,9,6174147757,2,8407337934,894,0,0
5150 SANDY LN,BRANDON,KENDRA ERIN CHESNUT,SOUTH EAST,TAMPA,Decile 9-10,KENDRA ERIN CHESNUT@gmail.com,12/20/2021,U000101,NATION,US,10/3/2021,10012148,1001001,EXL,Hospitals,10/1/2021,FL,QTD,QTD,Y,33511,0,2,2,2,0,0,0,9,6174147757,2,8407337934,894,0,0
1200 S CEDAR CREST BLVD,GROSSE POINTE WOODS,QIU MEI MEI HUANG,GREAT LAKES,DETROIT SOUTH,Decile 9-10,QIU MEI MEI HUANG@yahoo.com,6/30/2021,U000101,NATION,US,6/15/2021,10010657,1001001,EXL,Hospitals,6/1/2021,MI,M6,M6,Y,48236,1,0,0,0,0,0,1,9,7245391966,2,9407336230,681,0,0
1200 S CEDAR CREST BLVD,GROSSE POINTE WOODS,QIU MEI MEI HUANG,GREAT LAKES,DETROIT SOUTH,Decile 9-10,QIU MEI MEI HUANG@yahoo.com,12/20/2021,U000101,NATION,US,6/15/2021,10010657,1001001,EXL,Hospitals,1/1/2021,MI,YTD,YTD,Y,48236,1,0,0,0,0,0,1,9,7245391966,2,9407336230,681,0,0
1 MEDICAL CENTER DR,PAOLI,MELISSA CHASE LEVESQUE,MID-ATLANTIC,PHILADELPHIA SOUTH,Decile 9-10,MELISSA CHASE LEVESQUE@icould.com,3/31/2021,U000101,NATION,US,3/4/2021,10020861,1001001,EXL,Hospitals,3/1/2021,PA,M9,M9,Y,19301,1,0,0,0,0,0,1,10,3522735683,2,8407334406,453,0,0
1 MEDICAL CENTER DR,PAOLI,MELISSA CHASE LEVESQUE,MID-ATLANTIC,PHILADELPHIA SOUTH,Decile 9-10,MELISSA CHASE LEVESQUE@icould.com,12/20/2021,U000101,NATION,US,3/4/2021,10020861,1001001,EXL,Hospitals,1/1/2021,PA,YTD,YTD,Y,19301,1,0,0,0,0,0,1,10,3522735683,2,8407334406,453,0,0
259 E ERIE ST FL 17,MONROE,HANNA M COYLE,MID-CENTRAL,CHARLOTTE,Decile 9-10,HANNA M COYLE@aolmail.com,11/30/2021,U000101,NATION,US,11/19/2021,10018250,1001001,EXL,Hospitals,11/1/2021,NC,M1,M1,Y,28112,1,0,0,3,0,0,1,10,2037856414,2,9407331422,80,0,0
259 E ERIE ST FL 17,MONROE,HANNA M COYLE,MID-CENTRAL,CHARLOTTE,Decile 9-10,HANNA M COYLE@aolmail.com,12/20/2021,U000101,NATION,US,11/19/2021,10018250,1001001,EXL,Hospitals,1/1/2021,NC,YTD,YTD,Y,28112,1,0,0,3,0,0,1,10,2037856414,2,9407331422,80,0,0
259 E ERIE ST FL 17,MONROE,HANNA M COYLE,MID-CENTRAL,CHARLOTTE,Decile 9-10,HANNA M COYLE@aolmail.com,12/20/2021,U000101,NATION,US,11/19/2021,10018250,1001001,EXL,Hospitals,10/1/2021,NC,QTD,QTD,Y,28112,1,0,0,3,0,0,1,10,2037856414,2,9407331422,80,0,0
1500 E MEDICAL CENTER DR SPC 5376,TARPON SPRINGS,JOHN EUGENE BILLI,SOUTH EAST,TAMPA,Decile 9-10,JOHN EUGENE BILLI@outlook.com,4/30/2021,U000101,NATION,US,4/22/2021,10010440,1001001,EXL,Hospitals,4/1/2021,FL,M8,M8,Y,34689,2,0,0,0,0,0,2,9,7043555736,2,7507335982,650,0,0
1500 E MEDICAL CENTER DR SPC 5376,TARPON SPRINGS,JOHN EUGENE BILLI,SOUTH EAST,TAMPA,Decile 9-10,JOHN EUGENE BILLI@outlook.com,12/20/2021,U000101,NATION,US,4/22/2021,10010440,1001001,EXL,Hospitals,1/1/2021,FL,YTD,YTD,Y,34689,2,0,0,0,0,0,2,9,7043555736,2,7507335982,650,0,0
3300 GALLOWS RD,LONG ISLAND CITY,ANDREW LEWIS MINER,NORTHEAST,BROOKLYN,Decile 9-10,ANDREW LEWIS MINER@gmail.com,9/30/2021,U000101,NATION,US,9/7/2021,10019923,1001001,EXL,Hospitals,9/1/2021,NY,M3,M3,Y,11101,2,0,0,0,0,0,2,10,5852731129,2,8307333334,319,0,0
3300 GALLOWS RD,LONG ISLAND CITY,ANDREW LEWIS MINER,NORTHEAST,BROOKLYN,Decile 9-10,ANDREW LEWIS MINER@gmail.com,12/20/2021,U000101,NATION,US,9/7/2021,10019923,1001001,EXL,Hospitals,1/1/2021,NY,YTD,YTD,Y,11101,2,0,0,0,0,0,2,10,5852731129,2,8307333334,319,0,0
C 4201 SAINT ANTOINE ST # 9,VENICE,RUMA  HOPKINS,SOUTH EAST,TAMPA,Decile 9-10,RUMA  HOPKINS@icould.com,10/31/2021,U000101,NATION,US,10/15/2021,10018922,1001001,EXL,Hospitals,10/1/2021,FL,M2,M2,Y,34285,2,0,0,3,0,0,2,10,8282747855,2,9007332190,176,0,0
C 4201 SAINT ANTOINE ST # 9,VENICE,RUMA  HOPKINS,SOUTH EAST,TAMPA,Decile 9-10,RUMA  HOPKINS@icould.com,12/20/2021,U000101,NATION,US,10/15/2021,10018922,1001001,EXL,Hospitals,1/1/2021,FL,YTD,YTD,Y,34285,2,0,0,3,0,0,2,10,8282747855,2,9007332190,176,0,0
C 4201 SAINT ANTOINE ST # 9,VENICE,RUMA  HOPKINS,SOUTH EAST,TAMPA,Decile 9-10,RUMA  HOPKINS@icould.com,12/20/2021,U000101,NATION,US,10/15/2021,10018922,1001001,EXL,Hospitals,10/1/2021,FL,QTD,QTD,Y,34285,2,0,0,3,0,0,2,10,8282747855,2,9007332190,176,0,0
3300 GALLOWS RD,NASHUA,ELIZABETH S FREUND,NORTHEAST,BOSTON NORTH,Decile 9-10,ELIZABETH S FREUND@gmail.com,8/31/2021,U000101,NATION,US,8/4/2021,10019111,1001001,EXL,Hospitals,8/1/2021,NH,M4,M4,Y,03064,2,0,0,4,0,0,2,9,3193563086,2,8107332406,203,0,0
3300 GALLOWS RD,NASHUA,ELIZABETH S FREUND,NORTHEAST,BOSTON NORTH,Decile 9-10,ELIZABETH S FREUND@gmail.com,12/20/2021,U000101,NATION,US,8/4/2021,10019111,1001001,EXL,Hospitals,1/1/2021,NH,YTD,YTD,Y,03064,2,0,0,4,0,0,2,9,3193563086,2,8107332406,203,0,0
1801 HICKMAN RD,LACOMBE,TERESA MARIE BEAR,SOUTHWEST,NEW ORLEANS,Decile 9-10,TERESA MARIE BEAR@aolmail.com,12/20/2021,U000101,NATION,US,12/14/2021,10012421,1001001,EXL,Hospitals,1/1/2021,LA,YTD,YTD,Y,70445,2,0,1,3,0,0,2,9,7853545004,2,9007338246,933,0,0
1801 HICKMAN RD,LACOMBE,TERESA MARIE BEAR,SOUTHWEST,NEW ORLEANS,Decile 9-10,TERESA MARIE BEAR@aolmail.com,12/20/2021,U000101,NATION,US,12/14/2021,10012421,1001001,EXL,Hospitals,10/1/2021,LA,QTD,QTD,Y,70445,2,0,1,3,0,0,2,9,7853545004,2,9007338246,933,0,0
1801 HICKMAN RD,LACOMBE,TERESA MARIE BEAR,SOUTHWEST,NEW ORLEANS,Decile 9-10,TERESA MARIE BEAR@aolmail.com,12/20/2021,U000101,NATION,US,12/14/2021,10012421,1001001,EXL,Hospitals,12/1/2021,LA,MTD,MTD,Y,70445,2,0,1,3,0,0,2,9,7853545004,2,9007338246,933,0,0
4510 MEDICAL CENTER DR STE 208,CHAMBERSBURG,STEFANI P ALEXANDER,MID-ATLANTIC,PHILADELPHIA SOUTH,Decile 9-10,STEFANI P ALEXANDER@aolmail.com,10/31/2021,U000101,NATION,US,10/6/2021,10009635,1001001,EXL,Hospitals,10/1/2021,PA,M2,M2,Y,17201,2,2,3,3,0,0,2,9,3232262657,2,8307335062,535,0,0
4510 MEDICAL CENTER DR STE 208,CHAMBERSBURG,STEFANI P ALEXANDER,MID-ATLANTIC,PHILADELPHIA SOUTH,Decile 9-10,STEFANI P ALEXANDER@aolmail.com,12/20/2021,U000101,NATION,US,10/6/2021,10009635,1001001,EXL,Hospitals,1/1/2021,PA,YTD,YTD,Y,17201,2,2,3,3,0,0,2,9,3232262657,2,8307335062,535,0,0
4510 MEDICAL CENTER DR STE 208,CHAMBERSBURG,STEFANI P ALEXANDER,MID-ATLANTIC,PHILADELPHIA SOUTH,Decile 9-10,STEFANI P ALEXANDER@aolmail.com,12/20/2021,U000101,NATION,US,10/6/2021,10009635,1001001,EXL,Hospitals,10/1/2021,PA,QTD,QTD,Y,17201,2,2,3,3,0,0,2,9,3232262657,2,8307335062,535,0,0
200 RETREAT AVE,DALLAS,MIRIAM M FRIEDLANDER,SOUTHWEST,DALLAS,Decile 9-10,MIRIAM M FRIEDLANDER@gmail.com,12/20/2021,U000101,NATION,US,12/3/2021,10018684,1001001,EXL,Owns,1/1/2021,TX,YTD,YTD,Y,75246,0,0,0,4,0,0,0,9,2015696110,2,8407331918,142,0,0
200 RETREAT AVE,DALLAS,MIRIAM M FRIEDLANDER,SOUTHWEST,DALLAS,Decile 9-10,MIRIAM M FRIEDLANDER@gmail.com,12/20/2021,U000101,NATION,US,12/3/2021,10018684,1001001,EXL,Owns,10/1/2021,TX,QTD,QTD,Y,75246,0,0,0,4,0,0,0,9,2015696110,2,8407331918,142,0,0
200 RETREAT AVE,DALLAS,MIRIAM M FRIEDLANDER,SOUTHWEST,DALLAS,Decile 9-10,MIRIAM M FRIEDLANDER@gmail.com,12/20/2021,U000101,NATION,US,12/3/2021,10018684,1001001,EXL,Owns,12/1/2021,TX,MTD,MTD,Y,75246,0,0,0,4,0,0,0,9,2015696110,2,8407331918,142,0,0
325 9TH AVE,FITZGERALD,KYLE ROBERT SEARS,SOUTH EAST,ATLANTA SOUTH,Decile 9-10,KYLE ROBERT SEARS@yahoo.com,7/31/2021,U000101,NATION,US,7/15/2021,10012715,1001001,EXL,Owns,7/1/2021,GA,M5,M5,Y,31750,0,2,2,3,0,0,0,10,2485858341,2,7807338582,975,0,0
325 9TH AVE,FITZGERALD,KYLE ROBERT SEARS,SOUTH EAST,ATLANTA SOUTH,Decile 9-10,KYLE ROBERT SEARS@yahoo.com,12/20/2021,U000101,NATION,US,7/15/2021,10012715,1001001,EXL,Owns,1/1/2021,GA,YTD,YTD,Y,31750,0,2,2,3,0,0,0,10,2485858341,2,7807338582,975,0,0
400 S 43RD ST,CRESCENT CITY,JIYUN  KIM,Unassigned,US,Decile 9-10,JIYUN  KIM@thunderbird.com,5/31/2021,U000101,NATION,US,5/24/2021,10012624,1001001,EXL,Owns,5/1/2021,CA,M7,M7,Y,95531,1,0,1,3,0,0,1,9,6036270620,2,9007338478,962,0,0
400 S 43RD ST,CRESCENT CITY,JIYUN  KIM,Unassigned,US,Decile 9-10,JIYUN  KIM@thunderbird.com,12/20/2021,U000101,NATION,US,5/24/2021,10012624,1001001,EXL,Owns,1/1/2021,CA,YTD,YTD,Y,95531,1,0,1,3,0,0,1,9,6036270620,2,9007338478,962,0,0
1 BOSTON MEDICAL CTR PL,HIGHLANDS RANCH,VALMEEK M KUDESIA,UPPER NORTHWEST CENTRAL,DENVER,Decile 9-10,VALMEEK M KUDESIA@gmail.com,10/31/2021,U000101,NATION,US,10/24/2021,10020644,1001001,EXL,Consultants,10/1/2021,CO,M2,M2,Y,80129,0,1,2,4,1,0,0,9,3034622274,2,8307334158,422,0,0
1 BOSTON MEDICAL CTR PL,HIGHLANDS RANCH,VALMEEK M KUDESIA,UPPER NORTHWEST CENTRAL,DENVER,Decile 9-10,VALMEEK M KUDESIA@gmail.com,12/20/2021,U000101,NATION,US,10/24/2021,10020644,1001001,EXL,Consultants,1/1/2021,CO,YTD,YTD,Y,80129,0,1,2,4,1,0,0,9,3034622274,2,8307334158,422,0,0
1 BOSTON MEDICAL CTR PL,HIGHLANDS RANCH,VALMEEK M KUDESIA,UPPER NORTHWEST CENTRAL,DENVER,Decile 9-10,VALMEEK M KUDESIA@gmail.com,12/20/2021,U000101,NATION,US,10/24/2021,10020644,1001001,EXL,Consultants,10/1/2021,CO,QTD,QTD,Y,80129,0,1,2,4,1,0,0,9,3034622274,2,8307334158,422,0,0
3300 NW EXPRESSWAY,SANDUSKY,NATASHA NICOLE SIMONSON,GREAT LAKES,CLEVELAND,Decile 9-10,NATASHA NICOLE SIMONSON@aolmail.com,4/30/2021,U000101,NATION,US,4/22/2021,10020056,1001001,EXL,Consultants,4/1/2021,OH,M8,M8,Y,44870,0,2,2,2,1,0,0,10,7072535513,2,8407333486,338,0,0
3300 NW EXPRESSWAY,SANDUSKY,NATASHA NICOLE SIMONSON,GREAT LAKES,CLEVELAND,Decile 9-10,NATASHA NICOLE SIMONSON@aolmail.com,12/20/2021,U000101,NATION,US,4/22/2021,10020056,1001001,EXL,Consultants,1/1/2021,OH,YTD,YTD,Y,44870,0,2,2,2,1,0,0,10,7072535513,2,8407333486,338,0,0
600 N WOLFE STREET MEYER 119,SEATTLE,GLENN JORDAN TREISMAN,UPPER NORTHWEST CENTRAL,SEATTLE NORTH,Decile 9-10,GLENN JORDAN TREISMAN@icould.com,6/30/2021,U000101,NATION,US,6/14/2021,10018502,1001001,EXL,Consultants,6/1/2021,WA,M6,M6,Y,98104,0,2,3,3,1,0,0,9,3193562220,2,9407331710,116,0,0
600 N WOLFE STREET MEYER 119,SEATTLE,GLENN JORDAN TREISMAN,UPPER NORTHWEST CENTRAL,SEATTLE NORTH,Decile 9-10,GLENN JORDAN TREISMAN@icould.com,12/20/2021,U000101,NATION,US,6/14/2021,10018502,1001001,EXL,Consultants,1/1/2021,WA,YTD,YTD,Y,98104,0,2,3,3,1,0,0,9,3193562220,2,9407331710,116,0,0
3300 OAKDALE AVE N,UPPER ARLINGTON,CODY CHRISTOPHER SOYK,GREAT LAKES,COLUMBUS,Decile 9-10,CODY CHRISTOPHER SOYK@EDU.ORG,8/31/2021,U000101,NATION,US,8/28/2021,10012561,1001001,EXL,Consultants,8/1/2021,OH,M4,M4,Y,43221,1,1,2,3,1,0,1,9,7046371214,2,8307338406,953,0,0
3300 OAKDALE AVE N,UPPER ARLINGTON,CODY CHRISTOPHER SOYK,GREAT LAKES,COLUMBUS,Decile 9-10,CODY CHRISTOPHER SOYK@EDU.ORG,12/20/2021,U000101,NATION,US,8/28/2021,10012561,1001001,EXL,Consultants,1/1/2021,OH,YTD,YTD,Y,43221,1,1,2,3,1,0,1,9,7046371214,2,8307338406,953,0,0
1800 NW MYHRE RD,LOGAN,TOMASZ WOJCIECH PIETRUS,MID-CENTRAL,LEXINGTON,Decile 9-10,TOMASZ WOJCIECH PIETRUS@gmail.com,7/31/2021,U000101,NATION,US,7/25/2021,10010027,1001001,EXL,Hospitals,7/1/2021,WV,M5,M5,Y,25601,0,1,3,3,1,0,0,9,3307265931,2,7507335510,591,0,0
1800 NW MYHRE RD,LOGAN,TOMASZ WOJCIECH PIETRUS,MID-CENTRAL,LEXINGTON,Decile 9-10,TOMASZ WOJCIECH PIETRUS@gmail.com,12/20/2021,U000101,NATION,US,7/25/2021,10010027,1001001,EXL,Hospitals,1/1/2021,WV,YTD,YTD,Y,25601,0,1,3,3,1,0,0,9,3307265931,2,7507335510,591,0,0
1 BROOKDALE PLZ,HERRIN,YOHANAN  PRESCHEL,MIDWEST,SAINT LOUIS EAST,Decile 9-10,YOHANAN  PRESCHEL@outlook.com,4/30/2021,U000101,NATION,US,4/1/2021,10012330,1001001,EXL,Hospitals,4/1/2021,IL,M8,M8,Y,62948,1,1,3,3,1,0,1,10,7319358327,2,9407338142,920,0,0
1 BROOKDALE PLZ,HERRIN,YOHANAN  PRESCHEL,MIDWEST,SAINT LOUIS EAST,Decile 9-10,YOHANAN  PRESCHEL@outlook.com,12/20/2021,U000101,NATION,US,4/1/2021,10012330,1001001,EXL,Hospitals,1/1/2021,IL,YTD,YTD,Y,62948,1,1,3,3,1,0,1,10,7319358327,2,9407338142,920,0,0
18901 LAKE SHORE BLVD,LAURIUM,JAMES WILLIAM SAUTO,Unassigned,US,Decile 9-10,JAMES WILLIAM SAUTO@icould.com,12/31/2020,U000101,NATION,US,12/19/2020,10012540,1001001,EXL,Hospitals,12/1/2020,MI,M12,M12,Y,49913,1,2,3,3,1,0,1,9,8282583390,2,8307338382,950,0,0
6711 S NEW BRAUNFELS AVE STE 500,MECHANICSVILLE,CARMEN MARIA MASCARENHAS,MID-ATLANTIC,RICHMOND,Decile 9-10,CARMEN MARIA MASCARENHAS@gmail.com,1/31/2021,U000101,NATION,US,1/15/2021,10012680,1001001,EXL,Consultants,1/1/2021,VA,M11,M11,Y,23116,1,0,0,0,0,1,0,10,3129223789,2,9407338542,970,0,0
1901 1ST AVE,SCRANTON,DIVYA ELIZABETH JOSE,MID-ATLANTIC,ALLENTOWN,Decile 9-10,DIVYA ELIZABETH JOSE@yahoo.com,3/31/2021,U000101,NATION,US,3/14/2021,10018586,1001001,EXL,Consultants,3/1/2021,PA,M9,M9,Y,18510,1,0,0,0,0,1,0,10,9529936047,2,8407331806,128,0,0
1901 1ST AVE,SCRANTON,DIVYA ELIZABETH JOSE,MID-ATLANTIC,ALLENTOWN,Decile 9-10,DIVYA ELIZABETH JOSE@yahoo.com,12/20/2021,U000101,NATION,US,3/14/2021,10018586,1001001,EXL,Consultants,1/1/2021,PA,YTD,YTD,Y,18510,1,0,0,0,0,1,0,10,9529936047,2,8407331806,128,0,0
6711 S NEW BRAUNFELS AVE STE 500,MECHANICSVILLE,CARMEN MARIA MASCARENHAS,MID-ATLANTIC,RICHMOND,Decile 9-10,CARMEN MARIA MASCARENHAS@gmail.com,12/20/2021,U000101,NATION,US,1/15/2021,10012680,1001001,EXL,Consultants,1/1/2021,VA,YTD,YTD,Y,23116,1,0,0,0,0,1,0,10,3129223789,2,9407338542,970,0,0
200 HAWKINS DR,ARDEN,PEGGY C NOPOULOS,MID-CENTRAL,CHARLOTTE,Decile 9-10,PEGGY C NOPOULOS@gmail.com,11/30/2021,U000101,NATION,US,11/16/2021,10018292,1001001,EXL,Consultants,11/1/2021,NC,M1,M1,Y,28704,1,0,0,3,0,1,0,9,9106157907,2,7507331470,86,0,0
200 HAWKINS DR,ARDEN,PEGGY C NOPOULOS,MID-CENTRAL,CHARLOTTE,Decile 9-10,PEGGY C NOPOULOS@gmail.com,12/20/2021,U000101,NATION,US,11/16/2021,10018292,1001001,EXL,Consultants,1/1/2021,NC,YTD,YTD,Y,28704,1,0,0,3,0,1,0,9,9106157907,2,7507331470,86,0,0
200 HAWKINS DR,ARDEN,PEGGY C NOPOULOS,MID-CENTRAL,CHARLOTTE,Decile 9-10,PEGGY C NOPOULOS@gmail.com,12/20/2021,U000101,NATION,US,11/16/2021,10018292,1001001,EXL,Consultants,10/1/2021,NC,QTD,QTD,Y,28704,1,0,0,3,0,1,0,9,9106157907,2,7507331470,86,0,0
49 JESSE HILL JR DR SE,ROME,EVA R RIMLER,SOUTH EAST,ATLANTA NORTH,Decile 9-10,EVA R RIMLER@outlook.com,12/20/2021,U000101,NATION,US,12/6/2021,10019958,1001001,EXL,Consultants,1/1/2021,GA,YTD,YTD,Y,30165,1,0,0,3,0,1,0,10,7067878176,2,8407333374,324,0,0
49 JESSE HILL JR DR SE,ROME,EVA R RIMLER,SOUTH EAST,ATLANTA NORTH,Decile 9-10,EVA R RIMLER@outlook.com,12/20/2021,U000101,NATION,US,12/6/2021,10019958,1001001,EXL,Consultants,10/1/2021,GA,QTD,QTD,Y,30165,1,0,0,3,0,1,0,10,7067878176,2,8407333374,324,0,0
49 JESSE HILL JR DR SE,ROME,EVA R RIMLER,SOUTH EAST,ATLANTA NORTH,Decile 9-10,EVA R RIMLER@outlook.com,12/20/2021,U000101,NATION,US,12/6/2021,10019958,1001001,EXL,Consultants,12/1/2021,GA,MTD,MTD,Y,30165,1,0,0,3,0,1,0,10,7067878176,2,8407333374,324,0,0
920 STANTON L YOUNG BLVD STE 2040,LEWES,JAMES DOUGLAS BATTISTE,MID-ATLANTIC,PHILADELPHIA SOUTH,Decile 9-10,JAMES DOUGLAS BATTISTE@gmail.com,5/31/2021,U000101,NATION,US,5/13/2021,10011196,1001001,EXL,Consultants,5/1/2021,DE,M7,M7,Y,19958,1,0,3,3,0,1,0,10,9734395780,2,7507336846,758,0,0
920 STANTON L YOUNG BLVD STE 2040,LEWES,JAMES DOUGLAS BATTISTE,MID-ATLANTIC,PHILADELPHIA SOUTH,Decile 9-10,JAMES DOUGLAS BATTISTE@gmail.com,12/20/2021,U000101,NATION,US,5/13/2021,10011196,1001001,EXL,Consultants,1/1/2021,DE,YTD,YTD,Y,19958,1,0,3,3,0,1,0,10,9734395780,2,7507336846,758,0,0
207 W LEGION RD,GARDENA,STACY MEREDITH GOMEZ,WEST,LOS ANGELES EAST,Decile 9-10,STACY MEREDITH GOMEZ@yahoo.com,7/31/2021,U000101,NATION,US,7/12/2021,10010643,1001001,EXL,Consultants,7/1/2021,CA,M5,M5,Y,90247,1,1,2,2,0,1,0,9,4197567275,2,9007336214,679,0,0
207 W LEGION RD,GARDENA,STACY MEREDITH GOMEZ,WEST,LOS ANGELES EAST,Decile 9-10,STACY MEREDITH GOMEZ@yahoo.com,12/20/2021,U000101,NATION,US,7/12/2021,10010643,1001001,EXL,Consultants,1/1/2021,CA,YTD,YTD,Y,90247,1,1,2,2,0,1,0,9,4197567275,2,9007336214,679,0,0
601 ELMWOOD AVE,DES MOINES,CLAUDEN  LOUIS,MIDWEST,CEDAR RAPIDS / DES MOINES,Decile 9-10,CLAUDEN  LOUIS@EDU.ORG,9/30/2021,U000101,NATION,US,9/14/2021,10021356,1001001,EXL,Consultants,9/1/2021,IA,M3,M3,Y,50314,1,1,3,3,0,1,0,9,4404491555,2,9007331174,49,0,0
601 ELMWOOD AVE,DES MOINES,CLAUDEN  LOUIS,MIDWEST,CEDAR RAPIDS / DES MOINES,Decile 9-10,CLAUDEN  LOUIS@EDU.ORG,12/20/2021,U000101,NATION,US,9/14/2021,10021356,1001001,EXL,Consultants,1/1/2021,IA,YTD,YTD,Y,50314,1,1,3,3,0,1,0,9,4404491555,2,9007331174,49,0,0
5323 HARRY HINES BLVD STOP MC 8898,DUBLIN,NHAN TRANG LE,GREAT LAKES,COLUMBUS,Decile 9-10,NHAN TRANG LE@GLOBAL.NET,3/31/2021,U000101,NATION,US,3/18/2021,10009544,1001001,EXL,Consultants,3/1/2021,OH,M9,M9,Y,43017,1,2,2,2,0,1,0,10,9542288183,2,7507334958,522,0,0
5323 HARRY HINES BLVD STOP MC 8898,DUBLIN,NHAN TRANG LE,GREAT LAKES,COLUMBUS,Decile 9-10,NHAN TRANG LE@GLOBAL.NET,12/20/2021,U000101,NATION,US,3/18/2021,10009544,1001001,EXL,Consultants,1/1/2021,OH,YTD,YTD,Y,43017,1,2,2,2,0,1,0,10,9542288183,2,7507334958,522,0,0
1600 W 24TH ST,FLUSHING,ELISSA MARY BALL,NORTHEAST,BROOKLYN,Decile 9-10,ELISSA MARY BALL@yahoo.com,10/31/2021,U000101,NATION,US,10/28/2021,10009705,1001001,EXL,Consultants,10/1/2021,NY,M2,M2,Y,11367,1,2,3,3,0,1,0,9,7043555736,2,7807335142,545,0,0
1600 W 24TH ST,FLUSHING,ELISSA MARY BALL,NORTHEAST,BROOKLYN,Decile 9-10,ELISSA MARY BALL@yahoo.com,12/20/2021,U000101,NATION,US,10/28/2021,10009705,1001001,EXL,Consultants,1/1/2021,NY,YTD,YTD,Y,11367,1,2,3,3,0,1,0,9,7043555736,2,7807335142,545,0,0
1600 W 24TH ST,FLUSHING,ELISSA MARY BALL,NORTHEAST,BROOKLYN,Decile 9-10,ELISSA MARY BALL@yahoo.com,12/20/2021,U000101,NATION,US,10/28/2021,10009705,1001001,EXL,Consultants,10/1/2021,NY,QTD,QTD,Y,11367,1,2,3,3,0,1,0,9,7043555736,2,7807335142,545,0,0
1247 S CEDAR CREST BLVD STE 200,JACKSON HEIGHTS,GABRIELA ANNA FIRAK,NORTHEAST,BROOKLYN,Decile 9-10,GABRIELA ANNA FIRAK@EDU.ORG,5/31/2021,U000101,NATION,US,5/7/2021,10011301,1001001,EXL,Consultants,5/1/2021,NY,M7,M7,Y,11372,1,2,3,4,0,1,0,10,7186165360,2,8307336966,773,0,0
1247 S CEDAR CREST BLVD STE 200,JACKSON HEIGHTS,GABRIELA ANNA FIRAK,NORTHEAST,BROOKLYN,Decile 9-10,GABRIELA ANNA FIRAK@EDU.ORG,12/20/2021,U000101,NATION,US,5/7/2021,10011301,1001001,EXL,Consultants,1/1/2021,NY,YTD,YTD,Y,11372,1,2,3,4,0,1,0,10,7186165360,2,8307336966,773,0,0
17717 MASONIC,HINESVILLE,JEFFREY M COTHRAN,SOUTH EAST,ATLANTA SOUTH,Decile 9-10,JEFFREY M COTHRAN@outlook.com,5/31/2021,U000101,NATION,US,5/23/2021,10011504,1001001,EXL,Consultants,5/1/2021,GA,M7,M7,Y,31313,2,0,0,0,0,1,1,9,2164448530,2,9407337198,802,0,0
17717 MASONIC,HINESVILLE,JEFFREY M COTHRAN,SOUTH EAST,ATLANTA SOUTH,Decile 9-10,JEFFREY M COTHRAN@outlook.com,12/20/2021,U000101,NATION,US,5/23/2021,10011504,1001001,EXL,Consultants,1/1/2021,GA,YTD,YTD,Y,31313,2,0,0,0,0,1,1,9,2164448530,2,9407337198,802,0,0
1650 COCHRANE CIR,SOUTH BOSTON,TONY EARL MILLER,NORTHEAST,BOSTON NORTH,Decile 9-10,TONY EARL MILLER@icould.com,6/30/2021,U000101,NATION,US,6/7/2021,10019384,1001001,EXL,Consultants,6/1/2021,MA,M6,M6,Y,02127,2,0,0,0,0,1,1,10,3522651107,2,8407332718,242,0,0
1650 COCHRANE CIR,SOUTH BOSTON,TONY EARL MILLER,NORTHEAST,BOSTON NORTH,Decile 9-10,TONY EARL MILLER@icould.com,12/20/2021,U000101,NATION,US,6/7/2021,10019384,1001001,EXL,Consultants,1/1/2021,MA,YTD,YTD,Y,02127,2,0,0,0,0,1,1,10,3522651107,2,8407332718,242,0,0
4700 CITY AVE APT 12203,FORT MILL,JOSALYN WINNIE-LARIE BOYLES,MID-CENTRAL,COLUMBIA,Decile 9-10,JOSALYN WINNIE-LARIE BOYLES@yahoo.com,2/28/2021,U000101,NATION,US,2/24/2021,10021342,1001001,EXL,Consultants,2/1/2021,SC,M10,M10,Y,29715,2,0,0,3,0,1,1,9,2485858266,2,7507331158,47,0,0
4700 CITY AVE APT 12203,FORT MILL,JOSALYN WINNIE-LARIE BOYLES,MID-CENTRAL,COLUMBIA,Decile 9-10,JOSALYN WINNIE-LARIE BOYLES@yahoo.com,12/20/2021,U000101,NATION,US,2/24/2021,10021342,1001001,EXL,Consultants,1/1/2021,SC,YTD,YTD,Y,29715,2,0,0,3,0,1,1,9,2485858266,2,7507331158,47,0,0
